rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, variable_type, variable_value, attribute_name, attribute_type, attribute_value
GLOBAL,,,ACR8242XS,30569,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,ACR8242XS,30569,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,541.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,ACR8242XS,30569,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"541.00"
GLOBAL,,,ACR8242XS ,35717,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,ACR8242XS ,35717,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,541.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,ACR8242XS ,35717,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"541.00"
GLOBAL,,,IBCN-3,300434061130890,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,IBCN-3,300434061130890,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,120.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,IBCN-3,300434061130890,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"120.00"
GLOBAL,,,Aquadopp DW 2Mhz,A6L-1278 (AQD 1490),2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,Aquadopp DW 2Mhz,A6L-1278 (AQD 1490),2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,460.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,Aquadopp DW 2Mhz,A6L-1278 (AQD 1490),2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"460.00"
GLOBAL,,,WHLS75-I-2,12474,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,WHLS75-I-2,12474,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,120.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,WHLS75-I-2,12474,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"120.00"
GLOBAL,,,WHS300-I-UG164,16431,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,WHS300-I-UG164,16431,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,120.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,WHS300-I-UG164,16431,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"120.00"
GLOBAL,,,SBE37SMP,14030,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,SBE37SMP,14030,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,135.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,SBE37SMP,14030,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"135.00"
GLOBAL,,,SBE37SMP,20266,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,SBE37SMP,20266,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,170.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,SBE37SMP,20266,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"170.00"
GLOBAL,,,SBE37SMP,20271,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,SBE37SMP,20271,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,200.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,SBE37SMP,20271,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"200.00"
GLOBAL,,,SBE37SMP,20277,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,SBE37SMP,20277,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,300.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,SBE37SMP,20277,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"300.00"
GLOBAL,,,SBE37SMP,9165,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,SBE37SMP,9165,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,460.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,SBE37SMP,9165,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"460.00"
GLOBAL,,,SBE37SMP,9178,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,SBE37SMP,9178,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,100.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,SBE37SMP,9178,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"100.00"
GLOBAL,,,SBE37SMP,9337,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,SBE37SMP,9337,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,40.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,SBE37SMP,9337,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"40.00"
GLOBAL,,,SBE39plus,39p-8075,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,SBE39plus,39p-8075,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,250.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,SBE39plus,39p-8075,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"250.00"
GLOBAL,,,SBE39plus,39p-8076,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,SBE39plus,39p-8076,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,350.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,SBE39plus,39p-8076,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"350.00"
GLOBAL,,,SBE39plus,39p-8077,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
VAR,NOMINAL_DEPTH,EAC-EAC 500-05-2019,SBE39plus,39p-8077,2019-09-01,2021-04-01,NOMINAL_DEPTH,"()","()",float64,400.00,,,""
GLOBAL,,EAC-EAC 500-05-2019,SBE39plus,39p-8077,2019-09-01,2021-04-01,,"","",,,instrument_nominal_depth,float64,"400.00"
GLOBAL,,,Sable,300034012398590,2019-09-01,2021-04-01,,"","",,,deployment_code,str,"EAC-EAC 500-05-2019"
