rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, variable_type, variable_value, attribute_name, attribute_type, attribute_value
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,acknowledgement,str,"Any users of IMOS data are required to clearly acknowledge the source of the material derived from IMOS in the format: 'Data was sourced from the Integrated Marine Observing System (IMOS) - IMOS is a national collaborative research infrastructure, supported by the Australian Government.' If relevant, also credit other organisations involved in collection of this particular datastream (as listed in 'credit' in the metadata record)."
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,author,str,"Jansen, Peter"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,author_email,str,"peter.jansen@csiro.au"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,citation,str,"The citation in a list of references is: 'IMOS [year-of-data-download], [Title], [data-access-URL], accessed [date-of-access].'."
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,comment,str,"Geospatial vertical min/max information has been filled using the NOMINAL_DEPTH."
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,Conventions,str,"CF-1.6,IMOS-1.4"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,data_centre,str,"Australian Ocean Data Network (AODN)"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,data_centre_email,str,"info@aodn.org.au"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,disclaimer,str,"Data, products and services from IMOS are provided 'as is' without any warranty as to fitness for a particular purpose."
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,featureType,str,"timeSeries"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,file_version,str,"Level 0 - Raw data"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,file_version_quality_control,str,"Raw data is defined as unprocessed data and data products that have not undergone quality control. The data may be in engineering physical units, time and location details can be in relative units and values can be pre-calibration measurements."
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,geospatial_vertical_positive,str,"down"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,institution_references,str,"http://www.imos.org.au/aodn.html"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,keywords_vocabulary,str,"IMOS parameter names. See https://github.com/aodn/imos-toolbox/blob/master/IMOS/imosParameters.txt"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,license,str,"http://creativecommons.org/licenses/by/4.0/"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,naming_authority,str,"IMOS"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,project,str,"Integrated Marine Observing System (IMOS)"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,references,str,"http://www.imos.org.au"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,source,str,"Mooring"
GLOBAL,*,,,,2018-08-22T13:17:54Z,2019-03-22T21:40:39Z,,"","",,,standard_name_vocabulary,str,"NetCDF Climate and Forecast (CF) Metadata Convention Standard Name Table 45"
