rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, variable_type, variable_value, attribute_name, attribute_type, attribute_value
VAR_ATT,TIME,,,,,,,"","",,,axis,str,"T"
VAR_ATT,TIME,,,,,,,"","",,,calendar,str,"gregorian"
VAR_ATT,TIME,,,,,,,"","",,,long_name,str,"time"
VAR_ATT,TIME,,,,,,,"","",,,standard_name,str,"time"
VAR_ATT,TIME,,,,,,,"","",,,units,str,"days since 1950-01-01 00:00:00 UTC"
VAR_ATT,TIME,,,,,,,"","",,,valid_max,float64,"90000.0"
VAR_ATT,TIME,,,,,,,"","",,,valid_min,float64,"0.0"
VAR_ATT,LATITUDE,,,,,,,"","",,,axis,str,"Y"
VAR_ATT,LATITUDE,,,,,,,"","",,,long_name,str,"latitude"
VAR_ATT,LATITUDE,,,,,,,"","",,,reference_datum,str,"WGS84 geographic coordinate system"
VAR_ATT,LATITUDE,,,,,,,"","",,,standard_name,str,"latitude"
VAR_ATT,LATITUDE,,,,,,,"","",,,units,str,"degrees_north"
VAR_ATT,LATITUDE,,,,,,,"","",,,valid_max,float64,"90.0"
VAR_ATT,LATITUDE,,,,,,,"","",,,valid_min,float64,"-90.0"
VAR_ATT,LONGITUDE,,,,,,,"","",,,axis,str,"X"
VAR_ATT,LONGITUDE,,,,,,,"","",,,long_name,str,"longitude"
VAR_ATT,LONGITUDE,,,,,,,"","",,,reference_datum,str,"WGS84 geographic coordinate system"
VAR_ATT,LONGITUDE,,,,,,,"","",,,standard_name,str,"longitude"
VAR_ATT,LONGITUDE,,,,,,,"","",,,units,str,"degrees_east"
VAR_ATT,LONGITUDE,,,,,,,"","",,,valid_max,float64,"180.0"
VAR_ATT,LONGITUDE,,,,,,,"","",,,valid_min,float64,"-180.0"
VAR_ATT,NOMINAL_DEPTH,,,,,,,"","",,,axis,str,"Z"
VAR_ATT,NOMINAL_DEPTH,,,,,,,"","",,,long_name,str,"nominal depth"
VAR_ATT,NOMINAL_DEPTH,,,,,,,"","",,,positive,str,"down"
VAR_ATT,NOMINAL_DEPTH,,,,,,,"","",,,reference_datum,str,"sea surface"
VAR_ATT,NOMINAL_DEPTH,,,,,,,"","",,,standard_name,str,"depth"
VAR_ATT,NOMINAL_DEPTH,,,,,,,"","",,,units,str,"m"
VAR_ATT,NOMINAL_DEPTH,,,,,,,"","",,,valid_max,float32,"12000.0"
VAR_ATT,NOMINAL_DEPTH,,,,,,,"","",,,valid_min,float32,"-5.0"
VAR_ATT,TEMP,,,,,,,"","",,,coordinates,str,"TIME LATITUDE LONGITUDE NOMINAL_DEPTH"
VAR_ATT,TEMP,,,,,,,"","",,,long_name,str,"sea_water_temperature"
VAR_ATT,TEMP,,,,,,,"","",,,standard_name,str,"sea_water_temperature"
VAR_ATT,TEMP,,,,,,,"","",,,valid_max,float32,"40.0"
VAR_ATT,TEMP,,,,,,,"","",,,valid_min,float32,"-2.5"
VAR_ATT,CNDC,,,,,,,"","",,,coordinates,str,"TIME LATITUDE LONGITUDE NOMINAL_DEPTH"
VAR_ATT,CNDC,,,,,,,"","",,,long_name,str,"sea_water_electrical_conductivity"
VAR_ATT,CNDC,,,,,,,"","",,,standard_name,str,"sea_water_electrical_conductivity"
VAR_ATT,CNDC,,,,,,,"","",,,valid_max,float32,"50000.0"
VAR_ATT,CNDC,,,,,,,"","",,,valid_min,float32,"0.0"
VAR_ATT,PRES_REL,,,,,,,"","",,,applied_offset,float32,"-10.135297"
VAR_ATT,PRES_REL,,,,,,,"","",,,coordinates,str,"TIME LATITUDE LONGITUDE NOMINAL_DEPTH"
VAR_ATT,PRES_REL,,,,,,,"","",,,long_name,str,"sea_water_pressure_due_to_sea_water"
VAR_ATT,PRES_REL,,,,,,,"","",,,standard_name,str,"sea_water_pressure_due_to_sea_water"
VAR_ATT,PRES_REL,,,,,,,"","",,,valid_max,float32,"12000.0"
VAR_ATT,PRES_REL,,,,,,,"","",,,valid_min,float32,"-15.0"
VAR_ATT,PSAL,,,,,,,"","",,,coordinates,str,"TIME LATITUDE LONGITUDE NOMINAL_DEPTH"
VAR_ATT,PSAL,,,,,,,"","",,,long_name,str,"sea_water_practical_salinity"
VAR_ATT,PSAL,,,,,,,"","",,,standard_name,str,"sea_water_practical_salinity"
VAR_ATT,PSAL,,,,,,,"","",,,valid_max,float32,"41.0"
VAR_ATT,PSAL,,,,,,,"","",,,valid_min,float32,"2.0"
VAR_ATT,DOX2,,,,,,,"","",,,coordinates,str,"TIME LATITUDE LONGITUDE NOMINAL_DEPTH"
VAR_ATT,DOX2,,,,,,,"","",,,long_name,str,"moles_of_oxygen_per_unit_mass_in_sea_water"
VAR_ATT,DOX2,,,,,,,"","",,,standard_name,str,"moles_of_oxygen_per_unit_mass_in_sea_water"
VAR_ATT,DOX2,,,,,,,"","",,,valid_max,float32,"1000.0"
VAR_ATT,DOX2,,,,,,,"","",,,valid_min,float32,"0.0"
VAR_ATT,DOXY_TEMP,,,,,,,"","",,,coordinates,str,"TIME LATITUDE LONGITUDE NOMINAL_DEPTH"
VAR_ATT,DOXY_TEMP,,,,,,,"","",,,long_name,str,"temperature_of_sensor_for_oxygen_in_sea_water"
VAR_ATT,DOXY_TEMP,,,,,,,"","",,,standard_name,str,"temperature_of_sensor_for_oxygen_in_sea_water"
VAR_ATT,DOXY_TEMP,,,,,,,"","",,,valid_max,float32,"50.0"
VAR_ATT,DOXY_TEMP,,,,,,,"","",,,valid_min,float32,"0.0"
VAR_ATT,OXSOL2,,,,,,,"","",,,coordinates,str,"TIME LATITUDE LONGITUDE NOMINAL_DEPTH"
VAR_ATT,OXSOL2,,,,,,,"","",,,long_name,str,"oxygen_saturation_Garcia_Gordon"
VAR_ATT,OXSOL2,,,,,,,"","",,,units,str,"umol kg-1"
VAR_ATT,OXSOL2,,,,,,,"","",,,valid_max,float32,"1000.0"
VAR_ATT,OXSOL2,,,,,,,"","",,,valid_min,float32,"0.0"
